,file_name,label,split
0,FSD50K.dev_audio/64760.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
1,FSD50K.dev_audio/16399.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
2,FSD50K.dev_audio/16401.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
3,FSD50K.dev_audio/16402.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
4,FSD50K.dev_audio/16404.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
5,FSD50K.dev_audio/345111.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
6,FSD50K.dev_audio/64761.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
7,FSD50K.dev_audio/268259.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
8,FSD50K.dev_audio/64762.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
9,FSD50K.dev_audio/160826.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
10,FSD50K.dev_audio/40515.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
11,FSD50K.dev_audio/40516.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
12,FSD50K.dev_audio/40517.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
13,FSD50K.dev_audio/420945.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
14,FSD50K.dev_audio/420946.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
15,FSD50K.dev_audio/420947.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
16,FSD50K.dev_audio/86100.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
17,FSD50K.dev_audio/64741.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
18,FSD50K.dev_audio/40523.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
19,FSD50K.dev_audio/64743.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
20,FSD50K.dev_audio/64744.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
21,FSD50K.dev_audio/40525.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
22,FSD50K.dev_audio/51319.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",valid
23,FSD50K.dev_audio/64746.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
24,FSD50K.dev_audio/5318.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
25,FSD50K.dev_audio/4258.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
26,FSD50K.dev_audio/4259.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
27,FSD50K.dev_audio/4260.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",train
