file_name,label,split
blues/blues.00000.wav,blues,valid
blues/blues.00001.wav,blues,valid
blues/blues.00002.wav,blues,valid
blues/blues.00003.wav,blues,valid
blues/blues.00004.wav,blues,valid
blues/blues.00005.wav,blues,valid
blues/blues.00006.wav,blues,valid
blues/blues.00007.wav,blues,valid
blues/blues.00008.wav,blues,valid
blues/blues.00009.wav,blues,valid
blues/blues.00010.wav,blues,valid
blues/blues.00011.wav,blues,valid
blues/blues.00012.wav,blues,test
blues/blues.00013.wav,blues,test
blues/blues.00014.wav,blues,test
blues/blues.00015.wav,blues,test
blues/blues.00016.wav,blues,test
blues/blues.00017.wav,blues,test
blues/blues.00018.wav,blues,test
blues/blues.00019.wav,blues,test
blues/blues.00020.wav,blues,test
blues/blues.00021.wav,blues,test
blues/blues.00022.wav,blues,test
blues/blues.00023.wav,blues,test
blues/blues.00024.wav,blues,test
blues/blues.00025.wav,blues,test
blues/blues.00026.wav,blues,test
blues/blues.00027.wav,blues,test
blues/blues.00028.wav,blues,test
blues/blues.00029.wav,blues,train
blues/blues.00030.wav,blues,train
blues/blues.00031.wav,blues,train
blues/blues.00032.wav,blues,train
blues/blues.00033.wav,blues,train
blues/blues.00034.wav,blues,train
blues/blues.00035.wav,blues,train
blues/blues.00036.wav,blues,train
blues/blues.00037.wav,blues,train
blues/blues.00038.wav,blues,train
blues/blues.00039.wav,blues,train
blues/blues.00040.wav,blues,train
blues/blues.00041.wav,blues,train
blues/blues.00042.wav,blues,train
blues/blues.00043.wav,blues,train
blues/blues.00044.wav,blues,train
blues/blues.00045.wav,blues,train
blues/blues.00046.wav,blues,train
blues/blues.00047.wav,blues,train
blues/blues.00048.wav,blues,train
blues/blues.00049.wav,blues,train
blues/blues.00050.wav,blues,valid
blues/blues.00051.wav,blues,valid
blues/blues.00052.wav,blues,valid
blues/blues.00053.wav,blues,valid
blues/blues.00054.wav,blues,valid
blues/blues.00055.wav,blues,valid
blues/blues.00056.wav,blues,valid
blues/blues.00057.wav,blues,valid
blues/blues.00058.wav,blues,valid
blues/blues.00059.wav,blues,valid
blues/blues.00060.wav,blues,valid
blues/blues.00061.wav,blues,test
blues/blues.00062.wav,blues,test
blues/blues.00063.wav,blues,test
blues/blues.00064.wav,blues,test
blues/blues.00065.wav,blues,test
blues/blues.00066.wav,blues,test
blues/blues.00067.wav,blues,test
blues/blues.00068.wav,blues,test
blues/blues.00069.wav,blues,test
blues/blues.00070.wav,blues,test
blues/blues.00071.wav,blues,test
blues/blues.00072.wav,blues,test
blues/blues.00073.wav,blues,train
blues/blues.00074.wav,blues,train
blues/blues.00075.wav,blues,train
blues/blues.00076.wav,blues,train
blues/blues.00077.wav,blues,train
blues/blues.00078.wav,blues,train
blues/blues.00079.wav,blues,train
blues/blues.00080.wav,blues,train
blues/blues.00081.wav,blues,train
blues/blues.00082.wav,blues,train
blues/blues.00083.wav,blues,train
blues/blues.00084.wav,blues,train
blues/blues.00085.wav,blues,train
blues/blues.00086.wav,blues,train
blues/blues.00087.wav,blues,train
blues/blues.00088.wav,blues,train
blues/blues.00089.wav,blues,train
blues/blues.00090.wav,blues,train
blues/blues.00091.wav,blues,train
blues/blues.00092.wav,blues,train
blues/blues.00093.wav,blues,train
blues/blues.00094.wav,blues,train
blues/blues.00095.wav,blues,train
blues/blues.00096.wav,blues,train
blues/blues.00097.wav,blues,train
blues/blues.00098.wav,blues,test
blues/blues.00099.wav,blues,test
classical/classical.00000.wav,classical,valid
classical/classical.00001.wav,classical,valid
classical/classical.00002.wav,classical,valid
classical/classical.00003.wav,classical,valid
classical/classical.00004.wav,classical,valid
classical/classical.00005.wav,classical,valid
classical/classical.00006.wav,classical,valid
classical/classical.00007.wav,classical,valid
classical/classical.00008.wav,classical,valid
classical/classical.00009.wav,classical,valid
classical/classical.00010.wav,classical,valid
classical/classical.00011.wav,classical,test
classical/classical.00012.wav,classical,test
classical/classical.00013.wav,classical,test
classical/classical.00014.wav,classical,test
classical/classical.00015.wav,classical,test
classical/classical.00016.wav,classical,test
classical/classical.00017.wav,classical,test
classical/classical.00018.wav,classical,test
classical/classical.00019.wav,classical,test
classical/classical.00020.wav,classical,test
classical/classical.00021.wav,classical,test
classical/classical.00022.wav,classical,test
classical/classical.00023.wav,classical,test
classical/classical.00024.wav,classical,test
classical/classical.00025.wav,classical,test
classical/classical.00026.wav,classical,test
classical/classical.00027.wav,classical,test
classical/classical.00028.wav,classical,test
classical/classical.00029.wav,classical,test
classical/classical.00030.wav,classical,train
classical/classical.00031.wav,classical,train
classical/classical.00032.wav,classical,train
classical/classical.00033.wav,classical,train
classical/classical.00034.wav,classical,test
classical/classical.00035.wav,classical,test
classical/classical.00036.wav,classical,test
classical/classical.00037.wav,classical,test
classical/classical.00038.wav,classical,test
classical/classical.00039.wav,classical,test
classical/classical.00040.wav,classical,test
classical/classical.00041.wav,classical,test
classical/classical.00042.wav,classical,
classical/classical.00043.wav,classical,train
classical/classical.00044.wav,classical,train
classical/classical.00045.wav,classical,train
classical/classical.00046.wav,classical,train
classical/classical.00047.wav,classical,train
classical/classical.00048.wav,classical,train
classical/classical.00049.wav,classical,test
classical/classical.00050.wav,classical,train
