file_name,key,detailed_key,split
giantsteps-key-dataset/1004923.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1007941.LOFI.wav,17,F minor,test
giantsteps-key-dataset/10089.LOFI.wav,2,D major,test
giantsteps-key-dataset/1009960.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/101069.LOFI.wav,16,E minor,test
giantsteps-key-dataset/1017921.LOFI.wav,11,B major,test
giantsteps-key-dataset/1026478.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1033148.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1034795.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1037507.LOFI.wav,7,G major,test
giantsteps-key-dataset/1041574.LOFI.wav,8,Ab major,test
giantsteps-key-dataset/1043194.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1052744.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1056896.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1074548.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1075123.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1092676.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1103512.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/1105632.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1140027.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1149778.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1161234.LOFI.wav,0,C major,test
giantsteps-key-dataset/1161249.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1164898.LOFI.wav,0,C major,test
giantsteps-key-dataset/1178656.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1193612.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1194720.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1198688.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1206025.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1209745.LOFI.wav,10,Bb major,test
giantsteps-key-dataset/1224698.LOFI.wav,7,G major,test
giantsteps-key-dataset/1234668.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1234669.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1234670.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1234748.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1234749.LOFI.wav,10,Bb major,test
giantsteps-key-dataset/1234750.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1234751.LOFI.wav,10,Bb major,test
giantsteps-key-dataset/1234752.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1257593.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1298595.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1316308.LOFI.wav,7,G major,test
giantsteps-key-dataset/1353830.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1356281.LOFI.wav,3,Eb major,test
giantsteps-key-dataset/1389887.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/1406309.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1415239.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1442809.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1468437.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1474122.LOFI.wav,8,Ab major,test
giantsteps-key-dataset/1486770.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1494159.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1549964.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1568217.LOFI.wav,5,F major,test
giantsteps-key-dataset/1574723.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1575015.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1611446.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/1614715.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1626779.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/1650933.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1650934.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1652412.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1669939.LOFI.wav,4,E major,test
giantsteps-key-dataset/1673811.LOFI.wav,2,D major,test
giantsteps-key-dataset/1678455.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1681074.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1681077.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/1681085.LOFI.wav,5,F major,test
giantsteps-key-dataset/1682815.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1690921.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1695408.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1706844.LOFI.wav,3,Eb major,test
giantsteps-key-dataset/1725800.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1757071.LOFI.wav,16,E minor,test
giantsteps-key-dataset/1763782.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1771576.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1771577.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1776378.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/1781139.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1785226.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1787061.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1792026.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1792100.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1792506.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1795653.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1796518.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1803909.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1808022.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/1809174.LOFI.wav,9,A major,test
giantsteps-key-dataset/1814469.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1822087.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1822502.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1837440.LOFI.wav,23,B minor,test
giantsteps-key-dataset/1850984.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1856889.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1864037.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/1880732.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1904501.LOFI.wav,12,C minor,test
giantsteps-key-dataset/190477.LOFI.wav,14,D minor,test
giantsteps-key-dataset/191347.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1922470.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1927655.LOFI.wav,19,G minor,test
giantsteps-key-dataset/1939732.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1944125.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1948785.LOFI.wav,16,E minor,test
giantsteps-key-dataset/1949099.LOFI.wav,16,E minor,test
giantsteps-key-dataset/1950170.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/1960032.LOFI.wav,12,C minor,test
giantsteps-key-dataset/1964905.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1970992.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/1978917.LOFI.wav,14,D minor,test
giantsteps-key-dataset/1981501.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1982269.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1983975.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/1984204.LOFI.wav,17,F minor,test
giantsteps-key-dataset/1986370.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/1990297.LOFI.wav,21,A minor,test
giantsteps-key-dataset/1991458.LOFI.wav,23,B minor,test
giantsteps-key-dataset/2006103.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/2007977.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/2014445.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/2018991.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2024026.LOFI.wav,7,G major,test
giantsteps-key-dataset/2025670.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2026524.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/2029598.LOFI.wav,16,E minor,test
giantsteps-key-dataset/2031094.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2031096.LOFI.wav,21,A minor,test
giantsteps-key-dataset/203493.LOFI.wav,19,G minor,test
giantsteps-key-dataset/2046342.LOFI.wav,16,E minor,test
giantsteps-key-dataset/2047796.LOFI.wav,14,D minor,test
giantsteps-key-dataset/2048054.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2048940.LOFI.wav,19,G minor,test
giantsteps-key-dataset/2049680.LOFI.wav,17,F minor,test
giantsteps-key-dataset/2051166.LOFI.wav,16,E minor,test
giantsteps-key-dataset/2052966.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/2053495.LOFI.wav,23,B minor,test
giantsteps-key-dataset/2054968.LOFI.wav,0,C major,test
giantsteps-key-dataset/205597.LOFI.wav,19,G minor,test
giantsteps-key-dataset/2059625.LOFI.wav,18,Gb minor,test
giantsteps-key-dataset/2069519.LOFI.wav,17,F minor,test
giantsteps-key-dataset/2070773.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2075331.LOFI.wav,19,G minor,test
giantsteps-key-dataset/208158.LOFI.wav,16,E minor,test
giantsteps-key-dataset/2081732.LOFI.wav,16,E minor,test
giantsteps-key-dataset/209206.LOFI.wav,7,G major,test
giantsteps-key-dataset/2434664.LOFI.wav,0,C major,test
giantsteps-key-dataset/2435861.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2436276.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2436729.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2438899.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/2440193.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2447748.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/2448121.LOFI.wav,17,F minor,test
giantsteps-key-dataset/2666332.LOFI.wav,9,A major,test
giantsteps-key-dataset/2666528.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/2667501.LOFI.wav,23,B minor,test
giantsteps-key-dataset/2673157.LOFI.wav,23,B minor,test
giantsteps-key-dataset/2673251.LOFI.wav,15,Eb minor,test
giantsteps-key-dataset/2673252.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2673254.LOFI.wav,14,D minor,test
giantsteps-key-dataset/2676506.LOFI.wav,12,C minor,test
giantsteps-key-dataset/2680040.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2725284.LOFI.wav,19,G minor,test
giantsteps-key-dataset/2725286.LOFI.wav,19,G minor,test
giantsteps-key-dataset/2725289.LOFI.wav,16,E minor,test
giantsteps-key-dataset/2725290.LOFI.wav,19,G minor,test
giantsteps-key-dataset/272788.LOFI.wav,10,Bb major,test
giantsteps-key-dataset/2741219.LOFI.wav,21,A minor,test
giantsteps-key-dataset/2760321.LOFI.wav,0,C major,test
giantsteps-key-dataset/2996293.LOFI.wav,2,D major,test
giantsteps-key-dataset/3003894.LOFI.wav,12,C minor,test
giantsteps-key-dataset/3005030.LOFI.wav,16,E minor,test
giantsteps-key-dataset/3014118.LOFI.wav,16,E minor,test
giantsteps-key-dataset/3015217.LOFI.wav,17,F minor,test
giantsteps-key-dataset/3024384.LOFI.wav,21,A minor,test
giantsteps-key-dataset/3033991.LOFI.wav,12,C minor,test
giantsteps-key-dataset/305771.LOFI.wav,12,C minor,test
giantsteps-key-dataset/3069201.LOFI.wav,0,C major,test
giantsteps-key-dataset/3070298.LOFI.wav,14,D minor,test
giantsteps-key-dataset/3076768.LOFI.wav,9,A major,test
giantsteps-key-dataset/3093661.LOFI.wav,19,G minor,test
giantsteps-key-dataset/3095708.LOFI.wav,19,G minor,test
giantsteps-key-dataset/3114501.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/3116329.LOFI.wav,19,G minor,test
giantsteps-key-dataset/3129757.LOFI.wav,13,Db minor,test
giantsteps-key-dataset/3133794.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/3137686.LOFI.wav,21,A minor,test
giantsteps-key-dataset/3150078.LOFI.wav,2,D major,test
giantsteps-key-dataset/3151513.LOFI.wav,14,D minor,test
giantsteps-key-dataset/3165770.LOFI.wav,16,E minor,test
giantsteps-key-dataset/3172588.LOFI.wav,23,B minor,test
giantsteps-key-dataset/3178147.LOFI.wav,21,A minor,test
giantsteps-key-dataset/3178155.LOFI.wav,21,A minor,test
giantsteps-key-dataset/3186615.LOFI.wav,17,F minor,test
giantsteps-key-dataset/3211603.LOFI.wav,12,C minor,test
giantsteps-key-dataset/3211733.LOFI.wav,14,D minor,test
giantsteps-key-dataset/3228297.LOFI.wav,23,B minor,test
giantsteps-key-dataset/3228649.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/3228698.LOFI.wav,16,E minor,test
giantsteps-key-dataset/3229038.LOFI.wav,3,Eb major,test
giantsteps-key-dataset/3232851.LOFI.wav,21,A minor,test
giantsteps-key-dataset/3233653.LOFI.wav,5,F major,test
giantsteps-key-dataset/3246151.LOFI.wav,22,Bb minor,test
giantsteps-key-dataset/3249708.LOFI.wav,17,F minor,test
giantsteps-key-dataset/3250632.LOFI.wav,17,F minor,test
giantsteps-key-dataset/3257231.LOFI.wav,16,E minor,test
giantsteps-key-dataset/3260121.LOFI.wav,20,Ab minor,test
giantsteps-key-dataset/3262951.LOFI.wav,12,C minor,test
